Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
420995,RO345879,Concierge Services,308795 RON,2018-01-10
896044,RO345879,Professional Services,155033 RON,2018-01-27
954869,DE325476,Professional Services,11877.6 EUR,2018-01-21
639131,FR121212,Beverages and Catering,180067 USD,2018-01-13
579819,IT754893,Beverages and Catering,254965 RON,2018-01-03
461339,RO345879,Various paper supplies,116537 EUR,2018-01-26
481781,RO874232,Beverages and Catering,28899.6 CAD,2018-01-13
765690,FR329083,Concierge Services,22342.8 USD,2018-01-03
516005,IT213456,Professional Services,78511.2 USD,2018-01-20
425350,DE763212,Professional Services,36164.4 USD,2018-01-13
934180,RU567434,Waste management services,287896 RON,2018-02-22
881694,RO657483,Waste management services,77150.4 CAD,2018-02-26
644344,RU567434,Beverages and Catering,152010 RON,2018-02-12
274789,FR121212,IT Support,282794 CAD,2018-02-25
312519,RO254678,Waste management services,356771 RON,2018-02-12
984014,DE325476,Beverages and Catering,245077 EUR,2018-02-23
132663,DE987564,IT Support,43818 USD,2018-02-15
714677,RO212121,Beverages and Catering,112985 CAD,2018-02-23
979351,RO254678,Beverages and Catering,136508 EUR,2018-02-23
729244,FR453231,IT Support,242395 EUR,2018-02-18
377819,RU567434,Professional Services,285726 CAD,2018-02-23
136242,DE763212,Beverages and Catering,187276 EUR,2018-03-22
360214,RO125678,Beverages and Catering,53644.8 CAD,2018-03-11
790485,DE763212,Professional Services,3859.2 EUR,2018-03-12
741897,FR453231,Beverages and Catering,103908 RON,2018-03-28
746968,RO212121,Various paper supplies,343106 EUR,2018-03-03
652762,FR453231,Professional Services,138172 CAD,2018-03-21
516472,IT754893,Waste management services,190454 RON,2018-03-21
424611,FR121212,Professional Services,256086 CAD,2018-03-04
597696,FR329083,Professional Services,190282 RON,2018-03-18
669358,IT213456,Concierge Services,243972 RON,2018-03-05
647226,DE325476,Concierge Services,74852.4 EUR,2018-03-10
801283,FR329083,Concierge Services,249050 CAD,2018-03-06
899778,RO657483,Concierge Services,284791 EUR,2018-04-09
301041,RO212121,Professional Services,163411 USD,2018-04-13
121245,RO657483,Professional Services,92437.2 USD,0000-00-00
254019,RO212121,Waste management services,128323 USD,2018-04-26
168100,FR453231,Various paper supplies,287683 CAD,2018-04-12
632996,RU567434,Waste management services,224095 RON,2018-04-22
943392,RO657483,Waste management services,5689.2 RON,2018-04-19
564679,DE763212,IT Support,300256 USD,2018-04-02
