WIID,Description,Type,Status,Date
81309328,Verify Account Position,WI1,Open,2018-02-20
81309334,Verify Account Position,WI1,Open,2021-07-09
81309312,Verify Account Position,WI1,Open,2021-05-06
81309263,Generate Yearly Report for Vendor,WI4,Open,2021-11-29
81309309,Research Client Check Copy,WI2,Open,2019-04-24
81309287,Research Client Check Copy,WI2,Open,2018-01-12
81309324,Verify Account Position,WI1,Open,2019-02-11
81309282,Process Vendor Invoice,WI3,Open,2020-03-19
81309327,Verify Account Position,WI1,Open,2021-05-09
81309258,Generate Yearly Report for Vendor,WI4,Open,2018-11-14
81309283,Process Vendor Invoice,WI3,Open,2021-08-05
81309259,Generate Yearly Report for Vendor,WI4,Open,2021-04-27
81309266,Generate Yearly Report for Vendor,WI4,Open,2021-05-25
81309322,Verify Account Position,WI1,Open,2018-02-04
81309269,Generate Yearly Report for Vendor,WI4,Open,2019-08-07
81309331,Verify Account Position,WI1,Open,2019-06-19
81309297,Research Client Check Copy,WI2,Open,2022-02-15
81309288,Research Client Check Copy,WI2,Open,2018-08-07
81309323,Verify Account Position,WI1,Open,2017-07-29
81309326,Verify Account Position,WI1,Open,2021-10-11
81309289,Research Client Check Copy,WI2,Open,2020-05-08
81309310,Research Client Check Copy,WI2,Open,2020-07-13
81309305,Research Client Check Copy,WI2,Open,2017-11-29
81309271,Generate Yearly Report for Vendor,WI4,Open,2018-01-23
81309272,Generate Yearly Report for Vendor,WI4,Open,2021-11-30
81309298,Research Client Check Copy,WI2,Open,2020-04-28
81309253,Calculate Client Security Hash,WI5,Open,2021-12-16
81309265,Generate Yearly Report for Vendor,WI4,Open,2021-05-22
81309264,Generate Yearly Report for Vendor,WI4,Open,2020-05-30
81309306,Research Client Check Copy,WI2,Open,2022-03-19
81309247,Calculate Client Security Hash,WI5,Open,2022-03-19
81309317,Verify Account Position,WI1,Open,2018-02-13
81309335,Verify Account Position,WI1,Open,2019-04-10
81309292,Research Client Check Copy,WI2,Open,2018-12-16
81309284,Process Vendor Invoice,WI3,Open,2020-09-19
81309244,Calculate Client Security Hash,WI5,Open,2017-05-18
81309252,Calculate Client Security Hash,WI5,Open,2019-12-21
81309316,Verify Account Position,WI1,Open,2019-09-05
81309250,Calculate Client Security Hash,WI5,Open,2020-06-09
81309256,Generate Yearly Report for Vendor,WI4,Open,2019-05-02
81309313,Verify Account Position,WI1,Open,2020-09-14
81309315,Verify Account Position,WI1,Open,2020-12-14
81309274,Process Vendor Invoice,WI3,Open,2021-08-06
81309295,Research Client Check Copy,WI2,Open,2019-04-29
81309242,Calculate Client Security Hash,WI5,Open,2018-01-31
81309277,Process Vendor Invoice,WI3,Open,2018-07-17
81309254,Generate Yearly Report for Vendor,WI4,Open,2019-10-13
81309246,Calculate Client Security Hash,WI5,Open,2018-10-27
81309302,Research Client Check Copy,WI2,Open,2018-08-29
81309261,Generate Yearly Report for Vendor,WI4,Open,2017-04-27
81309311,Research Client Check Copy,WI2,Open,2019-11-23
81309255,Generate Yearly Report for Vendor,WI4,Open,2021-03-11
81309333,Verify Account Position,WI1,Open,2021-10-30
81309278,Process Vendor Invoice,WI3,Open,2017-11-13
81309270,Generate Yearly Report for Vendor,WI4,Open,2020-04-16
81309319,Verify Account Position,WI1,Open,2019-08-22
81309251,Calculate Client Security Hash,WI5,Open,2021-06-14
81309257,Generate Yearly Report for Vendor,WI4,Open,2019-12-05
81309303,Research Client Check Copy,WI2,Open,2021-10-29
81309330,Verify Account Position,WI1,Open,2021-09-13
81309291,Research Client Check Copy,WI2,Open,2020-01-07
81309332,Verify Account Position,WI1,Open,2020-10-09
81309314,Verify Account Position,WI1,Open,2021-03-30
81309243,Calculate Client Security Hash,WI5,Open,2019-10-29
81309308,Research Client Check Copy,WI2,Open,2019-05-25
81309279,Process Vendor Invoice,WI3,Open,2019-05-10
81309294,Research Client Check Copy,WI2,Open,2022-03-17
81309276,Process Vendor Invoice,WI3,Open,2020-08-04
81309299,Research Client Check Copy,WI2,Open,2021-09-18
81309290,Research Client Check Copy,WI2,Open,2017-03-05
81309267,Generate Yearly Report for Vendor,WI4,Open,2018-07-12
81309293,Research Client Check Copy,WI2,Open,2021-03-14
81309318,Verify Account Position,WI1,Open,2018-03-07
81309307,Research Client Check Copy,WI2,Open,2017-01-02
81309280,Process Vendor Invoice,WI3,Open,2022-02-22
81309245,Calculate Client Security Hash,WI5,Open,2019-05-18
81309320,Verify Account Position,WI1,Open,2018-08-09
81309300,Research Client Check Copy,WI2,Open,2018-04-05
81309249,Calculate Client Security Hash,WI5,Open,2017-02-21
81309285,Process Vendor Invoice,WI3,Open,2017-09-07
81309325,Verify Account Position,WI1,Open,2017-11-05
81309273,Process Vendor Invoice,WI3,Open,2017-10-24
81309268,Generate Yearly Report for Vendor,WI4,Open,2018-10-21
81309281,Process Vendor Invoice,WI3,Open,2022-01-27
81309275,Process Vendor Invoice,WI3,Open,2020-08-20
81309248,Calculate Client Security Hash,WI5,Open,2017-03-30
81309296,Research Client Check Copy,WI2,Open,2021-12-02
81309301,Research Client Check Copy,WI2,Open,2019-06-24
81309286,Research Client Check Copy,WI2,Open,2020-06-20
81309260,Generate Yearly Report for Vendor,WI4,Open,2019-12-21
81309321,Verify Account Position,WI1,Open,2019-03-15
81309262,Generate Yearly Report for Vendor,WI4,Open,2017-05-18
81309304,Research Client Check Copy,WI2,Open,2020-04-03
81309329,Verify Account Position,WI1,Open,2018-11-20
